fin_version;fin_scenario;0calmonth;key_rate;loan_rate;low_rate;upper_rate;;
FRC;OPTM;202701;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202702;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202703;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202704;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202705;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202706;0.1;0.1156;0.095;0.107508;;
FRC;OPTM;202707;0.09;0.1156;0.0855;0.107508;;
FRC;OPTM;202708;0.09;0.1156;0.0855;0.107508;;
FRC;OPTM;202709;0.09;0.1156;0.0855;0.107508;;
FRC;OPTM;202710;0.085;0.1156;0.08075;0.107508;;
FRC;OPTM;202711;0.085;0.1156;0.08075;0.107508;;
FRC;OPTM;202712;0.085;0.1156;0.08075;0.107508;;
FRC;OPTM;202801;0.08;0.0956;0.076;0.088908;;
FRC;OPTM;202802;0.08;0.0956;0.076;0.088908;;
FRC;OPTM;202803;0.08;0.0956;0.076;0.088908;;
FRC;OPTM;202804;0.075;0.0956;0.07125;0.088908;;
FRC;OPTM;202805;0.075;0.0956;0.07125;0.088908;;
FRC;OPTM;202806;0.075;0.0956;0.07125;0.088908;;
FRC;OPTM;202807;0.07;0.0956;0.0665;0.088908;;
FRC;OPTM;202808;0.07;0.0956;0.0665;0.088908;;
FRC;OPTM;202809;0.07;0.0956;0.0665;0.088908;;
FRC;OPTM;202810;0.065;0.0956;0.06175;0.088908;;
FRC;OPTM;202811;0.065;0.0956;0.06175;0.088908;;
FRC;OPTM;202812;0.065;0.0956;0.06175;0.088908;;
FRC;OPTM;202901;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202902;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202903;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202904;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202905;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202906;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202907;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202908;0.06;0.0956;0.057;0.088908;;
