fin_version,fin_scenario,fin_doc_num,0date,key_rate,spread,fix_rate,balance,loan,payment,balance_at_date,commissions_paid,commissions_received,rate,avg_balance,interest_accrued,ifrs_scope,paid_interest,impairment_stage,loan_reserve_ratio,loan_reserve,norev_cl_reserve_ratio,norev_cl_reserve,losses_prev_periods,change_loan_reserve,change_norev_cl_reserve,rw_loan,rwa_loan,rw_norev_credit_line,rwa_norev_credit_line,fin_leverage_loan_ratio,fin_leverage_loan,fin_leverage_norev_credit_line_ratio,fin_leverage_norev_credit_line
FCT,#,D0001,20260521,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12207554460.22,0.0,1.0,0.0633,772738197.33,0.03165,90219100.01,,334628.2707568407,0.0,1.1,12578297889.175385,0.5,1380152693.4157572,1.0,11434816262.886711,0.5,1380152693.4157572
FCT,#,D0001,20251226,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12179253555.99,0.0,1.0,0.0633,770946750.09,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12549137486.485516,0.5,1380152693.4157572,1.0,11408306805.895922,0.5,1380152693.4157572
FCT,#,D0001,20251014,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12251868607.91,0.0,1.0,0.0633,775543282.88,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12623957857.535336,0.5,1380152693.4157572,1.0,11476325325.032122,0.5,1380152693.4157572
FCT,#,D0001,20251101,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12147562864.09,0.0,1.0,0.0633,768940729.3,0.03165,90219100.01,,379263.35341620445,0.0,1.1,12516484348.271112,0.5,1380152693.4157572,1.0,11378622134.79192,0.5,1380152693.4157572
FCT,#,D0001,20251124,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12285367874.02,0.0,1.0,0.0633,777663786.43,0.03165,90219100.01,,379263.35341620445,0.0,1.1,12658474496.352776,0.5,1380152693.4157572,1.0,11507704087.593431,0.5,1380152693.4157572
FCT,#,D0001,20251203,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12133982080.46,0.0,1.0,0.0633,768081065.69,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12502491116.240158,0.5,1380152693.4157572,1.0,11365901014.76378,0.5,1380152693.4157572
FCT,#,D0001,20251023,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12305792307.45,0.0,1.0,0.0633,778956653.06,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12679519219.82816,0.5,1380152693.4157572,1.0,11526835654.389236,0.5,1380152693.4157572
FCT,#,D0001,20251020,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12287817740.94,0.0,1.0,0.0633,777818863.0,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12660998765.73055,0.5,1380152693.4157572,1.0,11509998877.936865,0.5,1380152693.4157572
FCT,#,D0001,20251127,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12303342440.53,0.0,1.0,0.0633,778801576.49,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12676994950.450388,0.5,1380152693.4157572,1.0,11524540864.045809,0.5,1380152693.4157572
FCT,#,D0001,20251102,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12153554386.26,0.0,1.0,0.0633,769319992.65,0.03165,90219100.01,,379263.35341620445,0.0,1.1,12522657832.970316,0.5,1380152693.4157572,1.0,11384234393.609377,0.5,1380152693.4157572
